people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia
1494,"Tom Ammiano",Tom,,Ammiano,,,1,D,1,Rep,HD-017,789209,70419,,Tom_Ammiano
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038,493316,16716,,Joel_Anderson
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015,776647,58229,,James_Beall_Jr.
1499,"Bill Berryhill",Bill,,Berryhill,,,2,R,1,Rep,HD-026,1386578,104368,,Bill_Berryhill
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008,12388609,9681,,Tom_Berryhill
1501,"Sam Blakeslee",Sam,,Blakeslee,,,2,R,1,Rep,HD-033,1939759,28759,,Sam_Blakeslee
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen,SD-039,6485591,104437,,Martin_Block
1503,"Robert Blumenfield",Robert,,Blumenfield,,Bob,1,D,1,Rep,HD-045,6485598,104387,,
1504,"Steven Bradford",Steven,,Bradford,,,1,D,2,Sen,SD-035,357173,56752,,Steven_Bradford
1505,"Julia Brownley",Julia,,Brownley,,,1,D,1,Rep,HD-041,1256839,59904,,Julia_Brownley
1506,"Joan Buchanan",Joan,T.,Buchanan,,,1,D,1,Rep,HD-016,21966,104351,,Joan_Buchanan
1508,"Charles Calderon",Charles,M.,Calderon,,,1,D,1,Rep,HD-058,24632,3591,,Charles_Calderon
1509,"Wilmer Carter",Wilmer,Amina,Carter,,,1,D,1,Rep,HD-062,778160,59942,,Wilmer_Carter
1510,"Wesley Chesbro",Wesley,,Chesbro,,,1,D,1,Rep,HD-002,13008401,16646,,Wesley_Chesbro
1511,"Connie Conway",Connie,,Conway,,,2,R,1,Rep,HD-026,6673749,81797,,Connie_Conway
1512,"Paul Cook",Paul,,Cook,,,2,R,1,Rep,HD-065,6553062,58121,,Paul_Cook_(California)
1514,"Mike Davis",Mike,,Davis,,,1,D,1,Rep,HD-048,6379476,28657,,Mike_Davis_(California)
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024,2322930,59926,,Kevin_de_Le%C3%B3n
1518,"Bill Emmerson",Bill,,Emmerson,,,2,R,2,Sen,SD-023,13008783,29356,,Bill_Emmerson
1519,"Mike Eng",Mike,,Eng,,,1,D,1,Rep,HD-049,6468720,57437,,Mike_Eng
1520,"Noreen Evans",Noreen,M.,Evans,,,1,D,2,Sen,SD-002,24705,29163,,Noreen_Evans
1521,"Mike Feuer",Mike,,Feuer,,,1,D,1,Rep,HD-042,6468728,59907,,Mike_Feuer
1522,"Nathan Fletcher",Nathan,,Fletcher,,,2,R,1,Rep,HD-075,6673755,104432,,Nathan_Fletcher
1523,"Paul Fong",Paul,J.,Fong,,,1,D,1,Rep,HD-028,146024,104363,,Paul_Fong
1524,"Felipe Fuentes",Felipe,,Fuentes,,,1,D,1,Rep,HD-039,6485398,70010,,Felipe_Fuentes
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016,258108,57656,,Jean_Fuller
1526,"Warren Furutani",Warren,T.,Furutani,,,1,D,1,Rep,HD-055,2438492,58165,,Warren_Furutani
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001,13008426,59841,,Ted_Gaines
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005,21639,57629,,Cathleen_Galgiani
1529,"Martin Garrick",Martin,,Garrick,,,2,R,1,Rep,HD-074,13008851,57319,,Martin_Garrick
1531,"Curt Hagman",Curt,,Hagman,,,2,R,1,Rep,HD-055,13008735,70547,,Curt_Hagman
